scian_codigo,sector_serio,notas
112515,112,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '1125'."
114119,114,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '1141'."
115111,115,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '1151'."
115113,115,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '1151'."
115119,115,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '1151'."
115210,115,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '1152'."
211111,211,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2111'."
212221,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2122'."
212231,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2122'."
212292,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2122'."
212311,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2123'."
212312,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2123'."
212319,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2123'."
212321,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2123'."
212322,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2123'."
212325,212,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2123'."
213111,213,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2131'."
213119,213,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2131'."
221111,221,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2211'."
221121,221,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2211'."
221122,221,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2211'."
221123,221,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2211'."
221210,221,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2212'."
221311,221,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2213'."
221312,221,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2213'."
236111,236,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2361'."
236112,236,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2361'."
236113,236,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2361'."
236211,236,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2362'."
236212,236,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2362'."
236221,236,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2362'."
236222,236,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2362'."
237111,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2371'."
237121,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2371'."
237131,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2371'."
237132,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2371'."
237133,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2371'."
237211,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2372'."
237212,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2372'."
237312,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2373'."
237992,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2379'."
237993,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2379'."
237999,237,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2379'."
238110,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2381'."
238121,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2381'."
238122,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2381'."
238130,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2381'."
238190,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2381'."
238210,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2382'."
238221,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2382'."
238222,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2382'."
238290,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2382'."
238311,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2383'."
238312,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2383'."
238320,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2383'."
238340,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2383'."
238350,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2383'."
238390,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2383'."
238910,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2389'."
238990,238,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '2389'."
311110,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3111'."
311212,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3112'."
311213,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3112'."
311214,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3112'."
311221,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3112'."
311222,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3112'."
311230,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3112'."
311311,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3113'."
311340,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3113'."
311350,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3113'."
311411,311,"Compilado desde autoría jerárquica — regla VERIFIED en nivel RAMA, código '3114'."
