"nivel_scian","codigo_scian","descripcion_scian","sector_serio","confianza","requiere_revision","justificacion"
"sector","11","Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","","BAJA","SI","El sector SCIAN 11 ('Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza') agrupa 5 subsectores que corresponden a 5 sectores SERIO distintos y económicamente heterogéneos entre sí: 111 (Agricultura), 112 (Cría y explotación de animales), 113 (Aprovechamiento forestal), 114 (Pesca, caza y captura), 115 (Servicios relacionados con las actividades agropecuarias y forestales). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","21","Minería","","BAJA","SI","El sector SCIAN 21 ('Minería') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 211 (Extracción de petróleo y gas), 212 (Minería de minerales metálicos y no metálicos, excepto petróleo y gas), 213 (Servicios relacionados con la minería). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","22","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","ALTA","NO","El sector SCIAN 22 ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final') contiene un único subsector (221), por lo que la asignación a nivel sector es idéntica y sin pérdida de información a la asignación de ese subsector: sector SERIO 'Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'."
"sector","23","Construcción","","BAJA","SI","El sector SCIAN 23 ('Construcción') agrupa 3 subsectores que corresponden a 3 sectores SERIO distintos y económicamente heterogéneos entre sí: 236 (Edificación), 237 (Construcción de obras de ingeniería civil), 238 (Trabajos especializados para la construcción). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","31","Industrias manufactureras","","BAJA","SI","El sector SCIAN 31 ('Industrias manufactureras') agrupa 6 subsectores que corresponden a 6 sectores SERIO distintos y económicamente heterogéneos entre sí: 311 (Industria alimentaria), 312 (Industria de las bebidas y del tabaco), 313 (Fabricación de insumos textiles y acabado de textiles), 314 (Fabricación de productos textiles, excepto prendas de vestir), 315 (Fabricación de prendas de vestir), 316 (Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","32","Industrias manufactureras","","BAJA","SI","El sector SCIAN 32 ('Industrias manufactureras') agrupa 7 subsectores que corresponden a 7 sectores SERIO distintos y económicamente heterogéneos entre sí: 321 (Industria de la madera), 322 (Industria del papel), 323 (Impresión e industrias conexas), 324 (Fabricación de productos derivados del petróleo y del carbón), 325 (Industria química), 326 (Industria del plástico y del hule), 327 (Fabricación de productos a base de minerales no metálicos). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","33","Industrias manufactureras","","BAJA","SI","El sector SCIAN 33 ('Industrias manufactureras') agrupa 8 subsectores que corresponden a 8 sectores SERIO distintos y económicamente heterogéneos entre sí: 331 (Industrias metálicas básicas), 332 (Fabricación de productos metálicos), 333 (Fabricación de maquinaria y equipo), 334 (Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos), 335 (Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica), 336 (Fabricación de equipo de transporte), 337 (Fabricación de muebles, colchones y persianas), 339 (Otras industrias manufactureras). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
"sector","43","Comercio al por mayor","Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","Los 7 subsectores que integran el sector SCIAN 43 ('Comercio al por mayor') convergen todos en el mismo sector SERIO ('Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco'), por decisión metodológica de agregación (ver justificación de cada subsector). El sector completo puede heredar esta asignación sin riesgo de mezclar actividades económicamente distintas."
"sector","46","Comercio al por menor","Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco","ALTA","NO","Los 9 subsectores que integran el sector SCIAN 46 ('Comercio al por menor') convergen todos en el mismo sector SERIO ('Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco'), por decisión metodológica de agregación (ver justificación de cada subsector). El sector completo puede heredar esta asignación sin riesgo de mezclar actividades económicamente distintas."
"sector","48","Transportes, correos y almacenamiento","","BAJA","SI","El sector SCIAN 48 ('Transportes, correos y almacenamiento') agrupa 8 subsectores que corresponden a 8 sectores SERIO distintos y económicamente heterogéneos entre sí: 481 (Transporte aéreo), 482 (Transporte por ferrocarril), 483 (Transporte por agua), 484 (Autotransporte de carga), 485 (Transporte terrestre de pasajeros, excepto por ferrocarril), 486 (Transporte por ductos), 487 (Transporte turístico), 488 (Servicios relacionados con el transporte). Asignar el sector completo a un solo sector SERIO sería una simplificación incorrecta; la resolución debe realizarse exclusivamente a nivel de subsector o rama, que es donde el motor jerárquico de CrosswalkBuilder deberá heredar la clasificación real."
